source,target
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,09895f8b8e38dba2d62d742541778c97c91d97ce
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,0cb85c72ea11c067adbdf47e006cd51bd3065ea5
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,12463ae88245b865eaa11ef632132fb90d187a34
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,1f089bb17a848f6cf6d90da330352928cd6a4045
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,26ae952599aa9ba5815a80356024258247fc2b10
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,44d71e0ec9f68d8eb802b9ab1dde8368efeac42e
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,55f44d39630646f36eac91358f8f27d1bead384c
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,5a5879965c5e83c59e9e32da74cebd8f40c5c306
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,661110f41096cd45fb1cb15c522706ea324b755a
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,68fb46bf05305eb2cc12f96da18486d404decf55
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,7b9875c1c4ce06651b2801b7dd0408466f691e12
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,8262bd0fb41956f136dd2bc04ff4863584a43ce7
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,852ab1852d930fd84af4f7bd0bbad5203df2ba21
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,8a5a2ac9c63c7d055ef3f695229eba04ee688c7a
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,8b8570a9892c487ac05dc196e2bfe23faa34d99e
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,91dea60a7b92e56a0ebf6f4f2f9f3e099c51ee7a
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,97d00901f67e68faf62578edc0c0c2a930006098
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,9844308775fdac20595bfeb6ac23e1e18a20083f
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,9e9e587d9cc4445270a98b7fa7ae901995845ec4
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,a0a0b59106e61e0c086870693f8650bd16b1350a
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,a11adb04e0b0a440846eaf9f35179eed52d18c3c
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,a69403588b005084ce4720f92f5bc93d07ab0b73
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,a9e14144a391131c849b5496f04698fd71646843
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,aab43c9c33af00b718cf2ae374b861d49862a563
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,b1e394ce7a072bbb7b986a3d1bd7c296cc4aa60e
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,b6badd47b8b12799ecb3074fe9f15d0035a1efdc
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,b70bddfad1b0787be702b28125f929c7118d5513
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,bd546ef9136002a36e7eb9d5922e3644f0d422d0
94ac58d1b6132b07ef66c47af8bd506bdb67e0c3,e943ca48dbbc00ec23aa246588c74699fe326a58
5389977ca9f0fa3a628a4182d0f09c8cedef2421,01f884b1e325ab27e531e45777bbcf12d02dfe5a
5389977ca9f0fa3a628a4182d0f09c8cedef2421,090c5a5df345ab60c41d6de02b3e366e1a27cf43
5389977ca9f0fa3a628a4182d0f09c8cedef2421,10055eb6f2f711a36d9aa8f759d3b3f01ebddb5d
5389977ca9f0fa3a628a4182d0f09c8cedef2421,1718965f492d4e9fe1d98a3fb83efe671a4aed2c
5389977ca9f0fa3a628a4182d0f09c8cedef2421,1d0e5a21512d2aea34026f83b1ff86ea30b8c0d6
5389977ca9f0fa3a628a4182d0f09c8cedef2421,1e7c4f513f24c3b82a1138b9f22ed87ed00cbe76
5389977ca9f0fa3a628a4182d0f09c8cedef2421,249ce7a85b158c16ba108451070c07aa1156e7eb
5389977ca9f0fa3a628a4182d0f09c8cedef2421,25086a03ded9f703d596e37c0606808580ccf665
5389977ca9f0fa3a628a4182d0f09c8cedef2421,25406e6733a698bfc4ac836f8e74f458e75dad4f
5389977ca9f0fa3a628a4182d0f09c8cedef2421,37807e97c624fb846df7e559553b32539ba2ea5d
5389977ca9f0fa3a628a4182d0f09c8cedef2421,3cd3f146518f3222d751a3a59fc2cef25a59bd72
5389977ca9f0fa3a628a4182d0f09c8cedef2421,3f1ff3c401126449300b4f521107484379a1be3b
5389977ca9f0fa3a628a4182d0f09c8cedef2421,437d76bd1f0348c568786c690f364d72bc14eb4d
5389977ca9f0fa3a628a4182d0f09c8cedef2421,495bbf69d338e33c3217c272da9eb4fec0a66212
5389977ca9f0fa3a628a4182d0f09c8cedef2421,56623a496727d5c71491850e04512ddf4152b487
5389977ca9f0fa3a628a4182d0f09c8cedef2421,581394ea82f65ae7bbe45f616e9118c32ec10108
5389977ca9f0fa3a628a4182d0f09c8cedef2421,5c82486e0c2c24b4f98761b46b4bfe781630d559
5389977ca9f0fa3a628a4182d0f09c8cedef2421,5e888dd57b14d2d85bad0c77471ad2847d89727b
5389977ca9f0fa3a628a4182d0f09c8cedef2421,5fb68722220102300b6153fba771bbad4851945d
5389977ca9f0fa3a628a4182d0f09c8cedef2421,656a33c1db546da8490d6eba259e2a849d73a001
5389977ca9f0fa3a628a4182d0f09c8cedef2421,66068d0b519d67fffbd2db90b8ccaecc7791d000
5389977ca9f0fa3a628a4182d0f09c8cedef2421,6db90dcdfa43dba412bc8d992476c49815c22190
5389977ca9f0fa3a628a4182d0f09c8cedef2421,6eb9bfc1c58937f838b47f2778407f02a439efcb
5389977ca9f0fa3a628a4182d0f09c8cedef2421,71626a6a6b6b94d2a7cf6f853159093d48a2fe22
5389977ca9f0fa3a628a4182d0f09c8cedef2421,7f027c678076d7f2fd817f081079a334466449b1
5389977ca9f0fa3a628a4182d0f09c8cedef2421,8592e46a5435d18bba70557846f47290b34c1aa5
5389977ca9f0fa3a628a4182d0f09c8cedef2421,898c01de58eb3b8e790b60e0fe0db2230d88f15b
5389977ca9f0fa3a628a4182d0f09c8cedef2421,91a2efd32b6998b4f21b885c54a51bc7c35d2703
5389977ca9f0fa3a628a4182d0f09c8cedef2421,98b4d4e24aab57ab4e1124ff8106909050645cfa
5389977ca9f0fa3a628a4182d0f09c8cedef2421,99a0f1bc2b4535406d780957cc5cc937d987d176
5389977ca9f0fa3a628a4182d0f09c8cedef2421,a275138be4d3133ba2e9d1a7a014e0afcbb5d546
5389977ca9f0fa3a628a4182d0f09c8cedef2421,a2f69bd15a2353920bddc878e8f9db5abf17e9c7
5389977ca9f0fa3a628a4182d0f09c8cedef2421,a5b589f758a78fdae7a0a670a458be22b95febdf
5389977ca9f0fa3a628a4182d0f09c8cedef2421,a8e8f3c8d4418c8d62e306538c9c1292635e9d27
5389977ca9f0fa3a628a4182d0f09c8cedef2421,b07ce649d6f6eb636872527104b0209d3edc8188
5389977ca9f0fa3a628a4182d0f09c8cedef2421,b0a945cf025236264d3f8cf20c7851c1cedbb217
5389977ca9f0fa3a628a4182d0f09c8cedef2421,b14391b13324eb91b7ed1cf4c4a29e0bc47373ae
5389977ca9f0fa3a628a4182d0f09c8cedef2421,b51b83f3e7a326d799c80f522c8fa779c0749cef
5389977ca9f0fa3a628a4182d0f09c8cedef2421,bc43eea336ba1818c4f2dc6bb4794ea00c5ccee5
5389977ca9f0fa3a628a4182d0f09c8cedef2421,c6e32b4f82c2a1833ef7ae32967ce2f3685fa1c5
5389977ca9f0fa3a628a4182d0f09c8cedef2421,cccc0a4817fd5f6d8758c66b4065a23897d49f1d
5389977ca9f0fa3a628a4182d0f09c8cedef2421,ce9a21b93ba29d4145a8ef6bf401e77f261848de
5389977ca9f0fa3a628a4182d0f09c8cedef2421,d1c6dd9c58b30ebe02e2340a9132607183819071
5389977ca9f0fa3a628a4182d0f09c8cedef2421,d2963f23f393dccc3ed5bc1598aa8b53deea4b7d
5389977ca9f0fa3a628a4182d0f09c8cedef2421,d76aafbeb54575859441a442376766c597f6bb52
5389977ca9f0fa3a628a4182d0f09c8cedef2421,dbe8c61628896081998d1cd7d10343a45b7061bd
5389977ca9f0fa3a628a4182d0f09c8cedef2421,dfc0519026a20ab20b7f62602cc90f9addb73b33
5389977ca9f0fa3a628a4182d0f09c8cedef2421,e3386ef9540273ab35bf85e454cd126dde76a650
5389977ca9f0fa3a628a4182d0f09c8cedef2421,e4b95eb9b713186df89acc264226657877cf875e
5389977ca9f0fa3a628a4182d0f09c8cedef2421,e8d2e8e01960b196b21248d212e416742d9cfa5c
5389977ca9f0fa3a628a4182d0f09c8cedef2421,eac01b8d4091345834f5581c7184f09f01e39604
5389977ca9f0fa3a628a4182d0f09c8cedef2421,f22f6972e66bdd2e769fa64b0df0a13063c0c101
949a68c4d0513574a4a504ce6f867b1330f8a947,039552ae02c32207ffb44a30ca3b274ccf196a9d
949a68c4d0513574a4a504ce6f867b1330f8a947,052b1d8ce63b07fec3de9dbb583772d860b7c769
949a68c4d0513574a4a504ce6f867b1330f8a947,0efb841403aa6252b39ae6975c1cc5410554ef7b
949a68c4d0513574a4a504ce6f867b1330f8a947,123a726f6feb2bce29708b68ab2db5cdf9fcdaf4
949a68c4d0513574a4a504ce6f867b1330f8a947,155345976aa505a10a45e9119f2853df4d7999d7
949a68c4d0513574a4a504ce6f867b1330f8a947,15a9c238b10b6fb70e065aebb71928f41a96b65c
949a68c4d0513574a4a504ce6f867b1330f8a947,1824dbb20a8593865b12fefe60bf25c860975863
949a68c4d0513574a4a504ce6f867b1330f8a947,2137c7a00cbf3e8e3e50d25f65579538feca913a
949a68c4d0513574a4a504ce6f867b1330f8a947,225ba9111ed4b4e0f5bbe12c69e7235e353ff3ff
949a68c4d0513574a4a504ce6f867b1330f8a947,2bca55f23d377c66dbaa7361cbb8ab6b21f8ae31
949a68c4d0513574a4a504ce6f867b1330f8a947,2cd7154ef2e19d4733bfac30f04ed708f01b42d1
949a68c4d0513574a4a504ce6f867b1330f8a947,2d9771548da61fd0722eb48eb9164db9c29d7e8c
949a68c4d0513574a4a504ce6f867b1330f8a947,33b15cdaefdecafacc02d167f99d6ba0d6af8340
949a68c4d0513574a4a504ce6f867b1330f8a947,34e2209927b313c5821abf70de2b2453fdc48bcb
949a68c4d0513574a4a504ce6f867b1330f8a947,370ff7574ef183203ef3afe05b64bf6bb1d89f37
949a68c4d0513574a4a504ce6f867b1330f8a947,406033f22b6a671b94bcbdfaf63070b7ce6f3e48
949a68c4d0513574a4a504ce6f867b1330f8a947,4918b7578a0fa4a9d88d4de54b14a7307172d5a5
949a68c4d0513574a4a504ce6f867b1330f8a947,49b1fc8b21d4439cc428ad804eb007111525de05
949a68c4d0513574a4a504ce6f867b1330f8a947,4a20663b3eca6f4cb791fd2f07da38e5a1bb0e14
949a68c4d0513574a4a504ce6f867b1330f8a947,4a4dc81317edd0944787c29b11c49b46d0f4e2da
949a68c4d0513574a4a504ce6f867b1330f8a947,5470d9a372e21882def20fb27527bd9651fd3d8d
949a68c4d0513574a4a504ce6f867b1330f8a947,65fbe8c57bfece906dcc18e553f782d65cbb24f8
949a68c4d0513574a4a504ce6f867b1330f8a947,749ce8ccd9453d1b34901143cddf5f9bee2977cf
949a68c4d0513574a4a504ce6f867b1330f8a947,75742e0816b7873f9f5081947925c57fdda60909
949a68c4d0513574a4a504ce6f867b1330f8a947,77dcffce3fb186fb971ac48a3bd2a9cc364e4a07
949a68c4d0513574a4a504ce6f867b1330f8a947,7892d425374f2c1177c981e9981e9a6ee32fbdff
949a68c4d0513574a4a504ce6f867b1330f8a947,7b7222ac076d211d7fcae7d012bebcc4ea71e952
949a68c4d0513574a4a504ce6f867b1330f8a947,81546d3a00d155d22ad39e2e994525c141d4e130
949a68c4d0513574a4a504ce6f867b1330f8a947,88ba9b3370010788602362c6a01e71183ec95e33
949a68c4d0513574a4a504ce6f867b1330f8a947,9beef3d6b0131c0941616a9c017aa62ed229bd2f
949a68c4d0513574a4a504ce6f867b1330f8a947,a6fb18698a57122ffb7b5ccb04b513ac6f055dcf
949a68c4d0513574a4a504ce6f867b1330f8a947,ae3fe34be9230c98b04d68b4621c89b7dbc2d717
949a68c4d0513574a4a504ce6f867b1330f8a947,b5622ce10b9f537006b2b14feb7f4f5c8a26a3f4
949a68c4d0513574a4a504ce6f867b1330f8a947,bc251742f72c25cca5e1c1d747ce28e951dc1a0c
