source,target
ccb0896acace6ada6a3d2d77b863e0c7b1737bcf,0817a087ddf287e0f826b4d9a3d9d8fdbadc8c62
ccb0896acace6ada6a3d2d77b863e0c7b1737bcf,7867a2fc5f3456fefc7ce35e29a060e20f8da60a
ccb0896acace6ada6a3d2d77b863e0c7b1737bcf,7ba81e4236d1124ab1928f52d748e2dfa5f84d82
ccb0896acace6ada6a3d2d77b863e0c7b1737bcf,7da323e7103245eeaed32367c46abe3f4913df86
ccb0896acace6ada6a3d2d77b863e0c7b1737bcf,c3aa26e6b39625ccc95b67df7cbe94cf32a0d1de
ccb0896acace6ada6a3d2d77b863e0c7b1737bcf,ceb0e1a86dc35e21ce5f0524c8476f15e1b08988
3cb54f04765c19e7e0580196c29c64e49f63a744,1ce44feb1486244ccc6a5c6ed445decb33fbd943
3cb54f04765c19e7e0580196c29c64e49f63a744,2b9ce3415654bd4d5f6c311adb26c1d50dcc1372
3cb54f04765c19e7e0580196c29c64e49f63a744,31c493f93edf4a2440add1db8797cbd1143612b8
3cb54f04765c19e7e0580196c29c64e49f63a744,39ebdb7512c44cd12c9098e145cc375f7864a973
3cb54f04765c19e7e0580196c29c64e49f63a744,3c652d0809161ff8393e8371ed51cf2d95f6583f
3cb54f04765c19e7e0580196c29c64e49f63a744,44f12e29091ef993c8cff563e31eb0401a6ea2a9
3cb54f04765c19e7e0580196c29c64e49f63a744,78f8556ec0d3d7728b4eb17734cfa1c33b4bbc8e
3cb54f04765c19e7e0580196c29c64e49f63a744,7b82a0c254969df37638798cea2d6febe19b2824
3cb54f04765c19e7e0580196c29c64e49f63a744,83cdbbfad2d4bb4c348e09cf3db779f020809b05
3cb54f04765c19e7e0580196c29c64e49f63a744,aab43c9c33af00b718cf2ae374b861d49862a563
3cb54f04765c19e7e0580196c29c64e49f63a744,b2ea74b50b7c68fd197e47b632f22fbb280da326
3cb54f04765c19e7e0580196c29c64e49f63a744,bfbdc3374125aa4ae76951d0ee352c15d02f33cf
3cb54f04765c19e7e0580196c29c64e49f63a744,d0a47c8c9c4213edd24a120a6912ebc08e348a19
3cb54f04765c19e7e0580196c29c64e49f63a744,e068be31ded63600aea068eacd12931efd2a1029
3cb54f04765c19e7e0580196c29c64e49f63a744,fb61c5320b4f61b6629e0c6fe6fe1b005220ca54
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,0951bebc7a31003926daa3c4de175561d4a57703
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,1af68821518f03568f913ab03fc02080247a27ff
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,1cb7ea5de0f8f4d90e4369db4a161ca8594026dc
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,204e3073870fae3d05bcbc2f6a8e263d9b72e776
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,2c03df8b48bf3fa39054345bafabfeff15bfd11d
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,3febb2bed8865945e7fddc99efd791887bb7e14f
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,449310e3538b08b43227d660227dfd2875c3c3c1
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,4550a4c714920ef57d19878e31c9ebae37b049b2
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,4aba54ea82bf99ed4690d45051f1b25d8b9554b5
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,64041343a7caf6bdd166010528a7aea793323538
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,642c1b4a9da95ea4239708afc5929a5007a1870d
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,66d21f5f029fcf2346196637792eaeed36b61e81
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,6a4270fec5e31a93abf3c804bec612e45d5aa334
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,77f0a39b8e02686fd85b01971f8feb7f60971f80
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,7e960b6479d1071b507d0014776adecb3480748d
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,84069287da0a6b488b8c933f3cb5be759cb6237e
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,8fec5d6ac57e90f459e7330775165f2671abc445
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,93499a7c7f699b6630a86fad964536f9423bb6d0
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,a6cb366736791bcccc5c8639de5a8f9636bf87e8
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,aab5002a22b9b4244a8329b140bd0a86021aa2d1
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,b12ccd118974839db290f15c989649b2b5188636
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,b60abe57bc195616063be10638c6437358c81d1e
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,b9de9599d7241459db9213b5cdd7059696f5ef8d
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,bb669de2fce407df2f5cb2f8c51dedee3f467e04
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,bf8fe437f779f2098f9af82b534aa51dc9edb06f
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,c8efcc854d97dfc2a42b83316a2109f9d166e43f
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,ca848d1355e91200b241cf6856ab1b208f5a9aba
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,cd958525291ee1ab856d23aa93cb95c86d87ccbe
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,cea967b59209c6be22829699f05b8b1ac4dc092d
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,cf0545d9f171c8e2d88aed13cd7ad60ff2ab8fb5
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,dbde7dfa6cae81df8ac19ef500c42db96c3d1edd
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,df2b0e26d0599ce3e70df8a9da02e51594e0e992
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,e7b08fdbc7362267cb6a26637236878608f7d699
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,f3b96ef2dc1fc5e14982f1b963db8db6a54183bb
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5
a39398f68ae7e042f2ef5009e31b4e6a20fd5736,ff4dde4e30236747fa2b3539a4bfcc786f1ae6bc
d75356e2bf674902a06a14bb55d18ee88af5b4bb,0359bba5112d472206d82ddb29947f2d634bb0cc
d75356e2bf674902a06a14bb55d18ee88af5b4bb,046b7f6b48e4d9fcf173dea0a0802d7e87b383e1
d75356e2bf674902a06a14bb55d18ee88af5b4bb,052b1d8ce63b07fec3de9dbb583772d860b7c769
d75356e2bf674902a06a14bb55d18ee88af5b4bb,0d7342813e3af75b921e789c386e94bb8a39be98
d75356e2bf674902a06a14bb55d18ee88af5b4bb,0fae3d8110531e1d4aeede901e602947c03d3876
d75356e2bf674902a06a14bb55d18ee88af5b4bb,13d4c2f76a7c1a4d0a71204e1d5d263a3f5a7986
d75356e2bf674902a06a14bb55d18ee88af5b4bb,172dbf8c7352bab99cdbfb6ebad04349ac2444f0
d75356e2bf674902a06a14bb55d18ee88af5b4bb,1a472d87ddd9cd3b4b2e3ccaec61a03053586897
d75356e2bf674902a06a14bb55d18ee88af5b4bb,1ab4925818adb8f9c4c1492f1e27f97e396339c1
d75356e2bf674902a06a14bb55d18ee88af5b4bb,1c7c5595dc7a1f5d360acf5c360ca1ca49536ba5
d75356e2bf674902a06a14bb55d18ee88af5b4bb,1cd88161e6f36704c2a75f5656fcf9527d931de0
d75356e2bf674902a06a14bb55d18ee88af5b4bb,1ee23da30802c9e817db0b79d0486c69450b31e1
d75356e2bf674902a06a14bb55d18ee88af5b4bb,200d72f1fe0cb314d431c1396f4c133307fd6736
d75356e2bf674902a06a14bb55d18ee88af5b4bb,20a8a98c3f250f61a622ed4cf207c851e8d8fb3d
d75356e2bf674902a06a14bb55d18ee88af5b4bb,20efb18888bb9142eaf7543946c2045203b4415a
d75356e2bf674902a06a14bb55d18ee88af5b4bb,233bc1bbdf5c4c08da204f545b1eaf15876ea786
d75356e2bf674902a06a14bb55d18ee88af5b4bb,23d6818a67bcbfc82ff57f2b1727aa451149b212
d75356e2bf674902a06a14bb55d18ee88af5b4bb,2425738e5b67fc909c6c41d7609e9d57e6791eb7
d75356e2bf674902a06a14bb55d18ee88af5b4bb,2446ff36818d62c8851e39bef95da9c02235388a
d75356e2bf674902a06a14bb55d18ee88af5b4bb,276be991dd62a963a46ebd83cd05fc431c0ac322
d75356e2bf674902a06a14bb55d18ee88af5b4bb,27e46dfcfbcce75660b39462cccff62328d0ede5
d75356e2bf674902a06a14bb55d18ee88af5b4bb,28886248acf75e7b1cca167669161d9d214ed662
