source,target
949a68c4d0513574a4a504ce6f867b1330f8a947,039552ae02c32207ffb44a30ca3b274ccf196a9d
949a68c4d0513574a4a504ce6f867b1330f8a947,052b1d8ce63b07fec3de9dbb583772d860b7c769
949a68c4d0513574a4a504ce6f867b1330f8a947,0efb841403aa6252b39ae6975c1cc5410554ef7b
949a68c4d0513574a4a504ce6f867b1330f8a947,123a726f6feb2bce29708b68ab2db5cdf9fcdaf4
949a68c4d0513574a4a504ce6f867b1330f8a947,155345976aa505a10a45e9119f2853df4d7999d7
949a68c4d0513574a4a504ce6f867b1330f8a947,15a9c238b10b6fb70e065aebb71928f41a96b65c
949a68c4d0513574a4a504ce6f867b1330f8a947,1824dbb20a8593865b12fefe60bf25c860975863
949a68c4d0513574a4a504ce6f867b1330f8a947,2137c7a00cbf3e8e3e50d25f65579538feca913a
949a68c4d0513574a4a504ce6f867b1330f8a947,225ba9111ed4b4e0f5bbe12c69e7235e353ff3ff
949a68c4d0513574a4a504ce6f867b1330f8a947,2bca55f23d377c66dbaa7361cbb8ab6b21f8ae31
949a68c4d0513574a4a504ce6f867b1330f8a947,2cd7154ef2e19d4733bfac30f04ed708f01b42d1
949a68c4d0513574a4a504ce6f867b1330f8a947,2d9771548da61fd0722eb48eb9164db9c29d7e8c
949a68c4d0513574a4a504ce6f867b1330f8a947,33b15cdaefdecafacc02d167f99d6ba0d6af8340
949a68c4d0513574a4a504ce6f867b1330f8a947,34e2209927b313c5821abf70de2b2453fdc48bcb
949a68c4d0513574a4a504ce6f867b1330f8a947,370ff7574ef183203ef3afe05b64bf6bb1d89f37
949a68c4d0513574a4a504ce6f867b1330f8a947,406033f22b6a671b94bcbdfaf63070b7ce6f3e48
949a68c4d0513574a4a504ce6f867b1330f8a947,4918b7578a0fa4a9d88d4de54b14a7307172d5a5
949a68c4d0513574a4a504ce6f867b1330f8a947,49b1fc8b21d4439cc428ad804eb007111525de05
949a68c4d0513574a4a504ce6f867b1330f8a947,4a20663b3eca6f4cb791fd2f07da38e5a1bb0e14
949a68c4d0513574a4a504ce6f867b1330f8a947,4a4dc81317edd0944787c29b11c49b46d0f4e2da
949a68c4d0513574a4a504ce6f867b1330f8a947,5470d9a372e21882def20fb27527bd9651fd3d8d
949a68c4d0513574a4a504ce6f867b1330f8a947,65fbe8c57bfece906dcc18e553f782d65cbb24f8
949a68c4d0513574a4a504ce6f867b1330f8a947,749ce8ccd9453d1b34901143cddf5f9bee2977cf
949a68c4d0513574a4a504ce6f867b1330f8a947,75742e0816b7873f9f5081947925c57fdda60909
949a68c4d0513574a4a504ce6f867b1330f8a947,77dcffce3fb186fb971ac48a3bd2a9cc364e4a07
949a68c4d0513574a4a504ce6f867b1330f8a947,7892d425374f2c1177c981e9981e9a6ee32fbdff
949a68c4d0513574a4a504ce6f867b1330f8a947,7b7222ac076d211d7fcae7d012bebcc4ea71e952
949a68c4d0513574a4a504ce6f867b1330f8a947,81546d3a00d155d22ad39e2e994525c141d4e130
949a68c4d0513574a4a504ce6f867b1330f8a947,88ba9b3370010788602362c6a01e71183ec95e33
949a68c4d0513574a4a504ce6f867b1330f8a947,9beef3d6b0131c0941616a9c017aa62ed229bd2f
949a68c4d0513574a4a504ce6f867b1330f8a947,a6fb18698a57122ffb7b5ccb04b513ac6f055dcf
949a68c4d0513574a4a504ce6f867b1330f8a947,ae3fe34be9230c98b04d68b4621c89b7dbc2d717
949a68c4d0513574a4a504ce6f867b1330f8a947,b5622ce10b9f537006b2b14feb7f4f5c8a26a3f4
949a68c4d0513574a4a504ce6f867b1330f8a947,bc251742f72c25cca5e1c1d747ce28e951dc1a0c
949a68c4d0513574a4a504ce6f867b1330f8a947,bd2fbbd4228f4e6c79a182876afa7fd972f79dde
949a68c4d0513574a4a504ce6f867b1330f8a947,bde9815a182e8c4a6c3fe8cdbdf600d937cb530f
949a68c4d0513574a4a504ce6f867b1330f8a947,c32d1479660973d45b4068739b617318304eb848
949a68c4d0513574a4a504ce6f867b1330f8a947,c74a3629120c22e72e4997d380d1a9bd3d72ac83
949a68c4d0513574a4a504ce6f867b1330f8a947,c94c156d00e0550a89a4af7bffd1d0c562320c76
949a68c4d0513574a4a504ce6f867b1330f8a947,cfcf4b5277f074a6d4e73c11ee60a3cea1fc0b50
949a68c4d0513574a4a504ce6f867b1330f8a947,d2f6ac8b70044a437a7d5444252d6af6037b46c2
949a68c4d0513574a4a504ce6f867b1330f8a947,e119669322fd5b026ee1a699446c8ee3abcea93d
949a68c4d0513574a4a504ce6f867b1330f8a947,e87834e60872a3cd4377ee9e89aa5dde138a2096
949a68c4d0513574a4a504ce6f867b1330f8a947,f8da2a65c12b1d968b27b70ea46fad01cf6fa17a
949a68c4d0513574a4a504ce6f867b1330f8a947,fd9c5c52a26e99e6bc3155db67cb94efe6054e04
949a68c4d0513574a4a504ce6f867b1330f8a947,ff2c2e3e83d1e8828695484728393c76ee07a101
61ce67533d2dd6605c907146658ccdbc4778a5d8,033cc3784a60115d758a11a765e764b86aca336c
61ce67533d2dd6605c907146658ccdbc4778a5d8,06feba1ffd596b41884cea6e8ef0da89b6dd2233
61ce67533d2dd6605c907146658ccdbc4778a5d8,07f254f33e4c99d4c443d9a5d9221f1e9af6c106
61ce67533d2dd6605c907146658ccdbc4778a5d8,09cfeb8d75f9543d5c848bcacb2020c8ac8ac699
61ce67533d2dd6605c907146658ccdbc4778a5d8,09d2f3467f171f253499773d8c1d71f21ac4f983
61ce67533d2dd6605c907146658ccdbc4778a5d8,0b544dfe355a5070b60986319a3f51fb45d1348e
61ce67533d2dd6605c907146658ccdbc4778a5d8,0ba19bb88c856b880d198f4b6e9dcf8144657df8
61ce67533d2dd6605c907146658ccdbc4778a5d8,18b3ba9cca72611cb41c5f51878e20d808916750
61ce67533d2dd6605c907146658ccdbc4778a5d8,1ced31e02234bc3d1092ffb2c7442ffbd51cb309
61ce67533d2dd6605c907146658ccdbc4778a5d8,1f3124cfcfc9583f8394ed1ef220ce72cc231f5e
61ce67533d2dd6605c907146658ccdbc4778a5d8,200c256c7f3253a365423b0a72efb37b0a692e4b
61ce67533d2dd6605c907146658ccdbc4778a5d8,2097923990ad6d188bd9afc69a1f8abc0580076b
61ce67533d2dd6605c907146658ccdbc4778a5d8,2aaa2de300a29becd569fce826677e491ea0ea70
61ce67533d2dd6605c907146658ccdbc4778a5d8,2c85b7fe70dda0adbbd7630e2a341a904c74fbd2
