,model,n_reference_groups,n_positive,n_negative,train_accuracy,test_accuracy,precision,recall,training_time,inference_time,embedding
0,"DummyClassifier(constant=0, strategy='constant')",60,5,5,0.5,0.9523809523809509,0.0,0.0,0.00020583073298136394,0.0001192927360534668,pca_10
1,LogisticRegression(),60,5,5,0.9966666666666666,0.6568253968253966,0.1352733263188904,0.8233333333333331,0.009781408309936523,0.00024895270665486655,pca_10
2,RidgeClassifier(),60,5,5,0.9966666666666666,0.5996825396825397,0.0929077860648966,0.7299999999999999,0.002699693044026693,0.0002449353535970052,pca_10
3,SVC(),60,5,5,0.9849999999999998,0.7477777777777777,0.1912355884421442,0.8099999999999999,0.0005221962928771973,0.00047861337661743165,pca_10
4,RandomForestClassifier(),60,5,5,1.0,0.6639682539682542,0.13401087598778658,0.8133333333333331,0.1540323853492737,0.027675286928812663,pca_10
5,KNeighborsClassifier(n_neighbors=3),60,5,5,0.8199999999999996,0.5579365079365081,0.1022625278986454,0.8866666666666667,0.0006145636240641276,0.0060318708419799805,pca_10
6,"DummyClassifier(constant=0, strategy='constant')",57,10,10,0.475,0.8636363636363629,0.0,0.0,0.00019828478495279947,9.232759475708008e-05,pca_10
7,LogisticRegression(),57,10,10,0.9333333333333333,0.6706060606060608,0.23430436480158356,0.813333333333333,0.010975829760233561,0.00023940006891886393,pca_10
8,RidgeClassifier(),57,10,10,0.9041666666666667,0.6434848484848487,0.20873567531618795,0.8166666666666662,0.0019571065902709963,0.00023204485575358073,pca_10
9,SVC(),57,10,10,0.9083333333333333,0.7446969696969694,0.3280471183226687,0.8083333333333331,0.000522140661875407,0.0007005651791890462,pca_10
10,RandomForestClassifier(),57,10,10,0.95,0.7060606060606057,0.26549104049991995,0.7916666666666664,0.1486775000890096,0.02716983954111735,pca_10
11,KNeighborsClassifier(n_neighbors=3),57,10,10,0.8083333333333331,0.579848484848485,0.18960708790421138,0.8416666666666663,0.00048226515452067057,0.006459975242614746,pca_10
12,"DummyClassifier(constant=0, strategy='constant')",50,20,20,0.4166666666666667,0.6944444444444446,0.0,0.0,0.00015049378077189128,7.393757502237956e-05,pca_10
13,LogisticRegression(),50,20,20,0.7662499999999999,0.6301388888888887,0.3455091757228393,0.7166666666666667,0.008657435576121012,0.00018939574559529622,pca_10
14,RidgeClassifier(),50,20,20,0.7404166666666668,0.629861111111111,0.34656508951229054,0.7166666666666669,0.0016364057858784993,0.00018630027770996093,pca_10
15,SVC(),50,20,20,0.7787499999999998,0.6933333333333334,0.4457516435664474,0.7425000000000002,0.0005639473597208659,0.0009170174598693848,pca_10
16,RandomForestClassifier(),50,20,20,0.8329166666666666,0.6854166666666666,0.4308004675565436,0.745833333333333,0.12458721399307252,0.021862347920735676,pca_10
